Date;Volume;;;;
28/08/2017;1358100;;;;
29/08/2017;1230400;;;;
30/08/2017;3875700;;;;
31/08/2017;1241700;;;;
01/09/2017;1187400;;;;
05/09/2017;1917500;;;;
06/09/2017;1448300;;;;
07/09/2017;2414200;;;;
08/09/2017;1493300;;;;
11/09/2017;1761100;;;;
12/09/2017;1087500;;;;
13/09/2017;2577100;;;;
14/09/2017;3124400;;;;
15/09/2017;2308000;;;;
18/09/2017;1393100;;;;
19/09/2017;2075000;;;;
20/09/2017;1467600;;;;
21/09/2017;965100;;;;
22/09/2017;3962100;;;;
25/09/2017;4212400;;;;
26/09/2017;3392500;;;;
27/09/2017;1899100;;;;
28/09/2017;2331100;;;;
29/09/2017;1765700;;;;
02/10/2017;3599600;;;;
03/10/2017;2181800;;;;
04/10/2017;2190000;;;;
05/10/2017;3100000;;;;
06/10/2017;2784600;;;;
09/10/2017;1327600;;;;
10/10/2017;1537700;;;;
11/10/2017;2231800;;;;
12/10/2017;1700800;;;;
13/10/2017;1965100;;;;
16/10/2017;2682400;;;;
17/10/2017;2259100;;;;
18/10/2017;3073300;;;;
19/10/2017;6924400;;;;
20/10/2017;35080800;;;;
23/10/2017;10971800;;;;
24/10/2017;4948300;;;;
25/10/2017;3722600;;;;
26/10/2017;3205200;;;;
27/10/2017;3726900;;;;
30/10/2017;5490000;;;;
31/10/2017;2844900;;;;
01/11/2017;2690600;;;;
02/11/2017;5179200;;;;
03/11/2017;2818700;;;;
06/11/2017;3479800;;;;
07/11/2017;2548500;;;;
08/11/2017;2385500;;;;
09/11/2017;3021200;;;;
10/11/2017;2391600;;;;
13/11/2017;1724700;;;;
14/11/2017;1571400;;;;
15/11/2017;2481500;;;;
16/11/2017;1257000;;;;
17/11/2017;2385700;;;;
20/11/2017;2250500;;;;
21/11/2017;1943900;;;;
22/11/2017;1145900;;;;
24/11/2017;380000;;;;
27/11/2017;3332600;;;;
28/11/2017;2635200;;;;
29/11/2017;5716900;;;;
30/11/2017;2286500;;;;
01/12/2017;2441700;;;;
04/12/2017;4130500;;;;
05/12/2017;2101500;;;;
06/12/2017;1473900;;;;
07/12/2017;1234900;;;;
08/12/2017;1658300;;;;
11/12/2017;1615600;;;;
12/12/2017;1314500;;;;
13/12/2017;1057800;;;;
14/12/2017;1813100;;;;
15/12/2017;2895200;;;;
18/12/2017;2342000;;;;
19/12/2017;1639700;;;;
20/12/2017;1267000;;;;
21/12/2017;3044100;;;;
22/12/2017;1807100;;;;
26/12/2017;1084500;;;;
27/12/2017;826800;;;;
28/12/2017;555900;;;;
29/12/2017;920300;;;;
02/01/2018;1426300;;;;
03/01/2018;1944600;;;;
04/01/2018;2518000;;;;
05/01/2018;1696500;;;;
08/01/2018;1644300;;;;
09/01/2018;1244900;;;;
10/01/2018;1698800;;;;
11/01/2018;863800;;;;
12/01/2018;1525500;;;;
16/01/2018;1359400;;;;
17/01/2018;2162400;;;;
18/01/2018;3394700;;;;
19/01/2018;1936400;;;;
22/01/2018;1174600;;;;
23/01/2018;1385100;;;;
24/01/2018;842600;;;;
25/01/2018;1135400;;;;
26/01/2018;868500;;;;
29/01/2018;1702900;;;;
30/01/2018;1608300;;;;
31/01/2018;2222000;;;;
01/02/2018;1376400;;;;
02/02/2018;1641200;;;;
05/02/2018;1938400;;;;
06/02/2018;3474900;;;;
07/02/2018;2207200;;;;
08/02/2018;4183200;;;;
09/02/2018;8151700;;;;
12/02/2018;4740100;;;;
13/02/2018;2746800;;;;
14/02/2018;2508400;;;;
15/02/2018;3247600;;;;
16/02/2018;2556800;;;;
20/02/2018;2972100;;;;
21/02/2018;1957600;;;;
22/02/2018;1678000;;;;
23/02/2018;3373500;;;;
26/02/2018;2881200;;;;
27/02/2018;2542000;;;;
28/02/2018;2760800;;;;
01/03/2018;1758200;;;;
02/03/2018;2877900;;;;
05/03/2018;2182200;;;;
06/03/2018;1488100;;;;
07/03/2018;1250800;;;;
08/03/2018;961400;;;;
09/03/2018;1387800;;;;
12/03/2018;1590200;;;;
13/03/2018;1738200;;;;
14/03/2018;1291100;;;;
15/03/2018;1714600;;;;
16/03/2018;3249000;;;;
19/03/2018;1762000;;;;
20/03/2018;1584700;;;;
21/03/2018;1815000;;;;
22/03/2018;1483700;;;;
23/03/2018;2047500;;;;
26/03/2018;2062200;;;;
27/03/2018;1553800;;;;
28/03/2018;1633300;;;;
29/03/2018;1382300;;;;
02/04/2018;1750700;;;;
03/04/2018;1551100;;;;
04/04/2018;1232700;;;;
05/04/2018;1599900;;;;
06/04/2018;2534100;;;;
09/04/2018;1268800;;;;
10/04/2018;1605800;;;;
11/04/2018;2445600;;;;
12/04/2018;2259800;;;;
13/04/2018;1980600;;;;
16/04/2018;1742100;;;;
17/04/2018;2617200;;;;
18/04/2018;2224800;;;;
19/04/2018;8502000;;;;
20/04/2018;37140800;;;;
23/04/2018;12968100;;;;
24/04/2018;5485600;;;;
25/04/2018;3637400;;;;
26/04/2018;3889700;;;;
27/04/2018;5856400;;;;
30/04/2018;3556100;;;;
01/05/2018;3574800;;;;
02/05/2018;3154000;;;;
03/05/2018;3135700;;;;
04/05/2018;3858600;;;;
07/05/2018;4024000;;;;
08/05/2018;3256200;;;;
09/05/2018;5198700;;;;
10/05/2018;2877500;;;;
11/05/2018;2574400;;;;
14/05/2018;3113600;;;;
15/05/2018;1989700;;;;
16/05/2018;2301600;;;;
17/05/2018;3394200;;;;
18/05/2018;2411000;;;;
21/05/2018;2801700;;;;
22/05/2018;1821400;;;;
23/05/2018;2170000;;;;
24/05/2018;2071100;;;;
25/05/2018;2043700;;;;
29/05/2018;2691000;;;;
30/05/2018;1545500;;;;
31/05/2018;2170800;;;;
01/06/2018;3309300;;;;
04/06/2018;2715600;;;;
05/06/2018;4276700;;;;
06/06/2018;4763500;;;;
07/06/2018;3506500;;;;
08/06/2018;3534400;;;;
11/06/2018;2157800;;;;
12/06/2018;1957900;;;;
13/06/2018;2125200;;;;
14/06/2018;1834900;;;;
15/06/2018;3002100;;;;
18/06/2018;2423400;;;;
19/06/2018;1923500;;;;
20/06/2018;1036600;;;;
21/06/2018;3693100;;;;
22/06/2018;2509900;;;;
25/06/2018;2282700;;;;
26/06/2018;2522000;;;;
27/06/2018;2020400;;;;
28/06/2018;2197900;;;;
29/06/2018;1699400;;;;
02/07/2018;1602000;;;;
03/07/2018;1541100;;;;
05/07/2018;2412800;;;;
06/07/2018;1677800;;;;
09/07/2018;3262400;;;;
10/07/2018;1731800;;;;
11/07/2018;2210200;;;;
12/07/2018;2974700;;;;
13/07/2018;4519200;;;;
16/07/2018;2528700;;;;
17/07/2018;2985300;;;;
18/07/2018;3776500;;;;
19/07/2018;9447600;;;;
20/07/2018;53680300;;;;
23/07/2018;11665300;;;;
24/07/2018;8345100;;;;
25/07/2018;4075600;;;;
26/07/2018;4064200;;;;
27/07/2018;4071200;;;;
30/07/2018;2806500;;;;
31/07/2018;2280400;;;;
01/08/2018;1862600;;;;
02/08/2018;1893600;;;;
03/08/2018;2179900;;;;
06/08/2018;2618600;;;;
07/08/2018;1897800;;;;
08/08/2018;3851500;;;;
09/08/2018;1938500;;;;
10/08/2018;1541500;;;;
13/08/2018;1251800;;;;
14/08/2018;1519600;;;;
15/08/2018;2052900;;;;
16/08/2018;1941400;;;;
17/08/2018;1631900;;;;
20/08/2018;1771400;;;;
21/08/2018;1875600;;;;
22/08/2018;2147600;;;;
23/08/2018;1983500;;;;
24/08/2018;3271200;;;;
27/08/2018;2875200;;;;
28/08/2018;1600900;;;;
29/08/2018;3179300;;;;
30/08/2018;1427900;;;;
31/08/2018;1437000;;;;
04/09/2018;1746900;;;;
05/09/2018;1494200;;;;
06/09/2018;1197200;;;;
07/09/2018;1341400;;;;
10/09/2018;1065600;;;;
11/09/2018;1544800;;;;
12/09/2018;8148300;;;;
13/09/2018;3385600;;;;
14/09/2018;2089200;;;;
17/09/2018;2047300;;;;
18/09/2018;1643100;;;;
19/09/2018;1554200;;;;
20/09/2018;6539800;;;;
21/09/2018;2609900;;;;
24/09/2018;1515700;;;;
25/09/2018;1768100;;;;
26/09/2018;1188600;;;;
27/09/2018;1539200;;;;
28/09/2018;1275600;;;;
01/10/2018;1305600;;;;
02/10/2018;2330700;;;;
03/10/2018;2043700;;;;
04/10/2018;1972900;;;;
05/10/2018;2095100;;;;
08/10/2018;2528500;;;;
09/10/2018;2254900;;;;
10/10/2018;3491800;;;;
11/10/2018;2991000;;;;
12/10/2018;2756300;;;;
15/10/2018;1981500;;;;
16/10/2018;2289300;;;;
17/10/2018;2156100;;;;
18/10/2018;5118800;;;;
19/10/2018;16665000;;;;
22/10/2018;5952400;;;;
23/10/2018;4071600;;;;
24/10/2018;4267500;;;;
25/10/2018;3805500;;;;
26/10/2018;2540000;;;;
29/10/2018;2704000;;;;
30/10/2018;1765400;;;;
31/10/2018;1936200;;;;
01/11/2018;1964300;;;;
02/11/2018;1876800;;;;
05/11/2018;2464300;;;;
06/11/2018;1255900;;;;
07/11/2018;2133900;;;;
08/11/2018;1278200;;;;
09/11/2018;1533100;;;;
12/11/2018;1646500;;;;
13/11/2018;1267400;;;;
14/11/2018;2634400;;;;
15/11/2018;2792400;;;;
16/11/2018;2583100;;;;
19/11/2018;2183700;;;;
20/11/2018;1706900;;;;
21/11/2018;1615600;;;;
23/11/2018;746800;;;;
26/11/2018;1802300;;;;
27/11/2018;1827100;;;;
28/11/2018;1880200;;;;
29/11/2018;1673800;;;;
30/11/2018;1986900;;;;
03/12/2018;4177200;;;;
04/12/2018;3875000;;;;
06/12/2018;3599000;;;;
07/12/2018;3620600;;;;
10/12/2018;2364400;;;;
11/12/2018;2378700;;;;
12/12/2018;3339400;;;;
13/12/2018;2488300;;;;
14/12/2018;2892600;;;;
17/12/2018;3178700;;;;
18/12/2018;2221500;;;;
19/12/2018;2464300;;;;
20/12/2018;2667400;;;;
21/12/2018;5492000;;;;
24/12/2018;1276100;;;;
26/12/2018;1994500;;;;
27/12/2018;2153100;;;;
28/12/2018;1715200;;;;
31/12/2018;1384500;;;;
02/01/2019;1946900;;;;
03/01/2019;2522400;;;;
04/01/2019;2225100;;;;
07/01/2019;2134800;;;;
08/01/2019;2139600;;;;
09/01/2019;1648300;;;;
10/01/2019;2542500;;;;
11/01/2019;2499100;;;;
14/01/2019;3182100;;;;
15/01/2019;2296700;;;;
16/01/2019;1741500;;;;
17/01/2019;12784200;;;;
18/01/2019;3872600;;;;
22/01/2019;2523800;;;;
23/01/2019;1683800;;;;
24/01/2019;1465700;;;;
25/01/2019;1910100;;;;
28/01/2019;2471100;;;;
29/01/2019;1479800;;;;
30/01/2019;1531900;;;;
31/01/2019;6885700;;;;
01/02/2019;4076700;;;;
04/02/2019;1791300;;;;
05/02/2019;2314900;;;;
06/02/2019;2638000;;;;
07/02/2019;5766700;;;;
08/02/2019;14443000;;;;
11/02/2019;3798700;;;;
12/02/2019;3392100;;;;
13/02/2019;2363400;;;;
14/02/2019;1870900;;;;
15/02/2019;1937800;;;;
19/02/2019;1608400;;;;
20/02/2019;1678000;;;;
21/02/2019;1224000;;;;
22/02/2019;1257500;;;;
25/02/2019;1698200;;;;
26/02/2019;1266100;;;;
27/02/2019;1265100;;;;
28/02/2019;1459600;;;;
01/03/2019;1316100;;;;
04/03/2019;2059500;;;;
05/03/2019;3539300;;;;
06/03/2019;1538600;;;;
07/03/2019;2017700;;;;
08/03/2019;1440500;;;;
11/03/2019;2075300;;;;
12/03/2019;1456400;;;;
13/03/2019;959900;;;;
14/03/2019;1031600;;;;
15/03/2019;1714700;;;;
18/03/2019;1522700;;;;
19/03/2019;1945000;;;;
20/03/2019;1457200;;;;
21/03/2019;2626400;;;;
22/03/2019;2771800;;;;
25/03/2019;2121300;;;;
26/03/2019;1779100;;;;
27/03/2019;2372800;;;;
28/03/2019;1575400;;;;
29/03/2019;2288400;;;;
01/04/2019;1605400;;;;
02/04/2019;2660600;;;;
03/04/2019;1740600;;;;
04/04/2019;1469900;;;;
05/04/2019;1680500;;;;
08/04/2019;1581000;;;;
09/04/2019;1044000;;;;
10/04/2019;993400;;;;
11/04/2019;1471500;;;;
12/04/2019;1129300;;;;
15/04/2019;1678800;;;;
16/04/2019;2478400;;;;
17/04/2019;3438000;;;;
18/04/2019;10441000;;;;
22/04/2019;5504900;;;;
23/04/2019;4507900;;;;
24/04/2019;4486300;;;;
25/04/2019;1234600;;;;
26/04/2019;1793000;;;;
29/04/2019;1514200;;;;
30/04/2019;1186000;;;;
01/05/2019;1222600;;;;
02/05/2019;1643700;;;;
03/05/2019;1560300;;;;
06/05/2019;2374600;;;;
07/05/2019;1751200;;;;
08/05/2019;1448000;;;;
09/05/2019;2229500;;;;
10/05/2019;1651000;;;;
13/05/2019;2467400;;;;
14/05/2019;1904800;;;;
15/05/2019;1554200;;;;
16/05/2019;1582700;;;;
17/05/2019;1407000;;;;
20/05/2019;1093500;;;;
21/05/2019;1108500;;;;
22/05/2019;2100400;;;;
23/05/2019;1961200;;;;
24/05/2019;1435500;;;;
28/05/2019;1221100;;;;
29/05/2019;1516800;;;;
30/05/2019;1461200;;;;
31/05/2019;2004600;;;;
03/06/2019;1866800;;;;
04/06/2019;2746400;;;;
05/06/2019;1563000;;;;
06/06/2019;2430600;;;;
07/06/2019;1628900;;;;
10/06/2019;1318000;;;;
11/06/2019;1780200;;;;
12/06/2019;968800;;;;
13/06/2019;870400;;;;
14/06/2019;1249700;;;;
17/06/2019;1774900;;;;
18/06/2019;1719100;;;;
19/06/2019;1207600;;;;
20/06/2019;984800;;;;
21/06/2019;1265800;;;;
24/06/2019;1311900;;;;
25/06/2019;1286400;;;;
26/06/2019;981900;;;;
27/06/2019;1423600;;;;
28/06/2019;2421700;;;;
01/07/2019;1853500;;;;
02/07/2019;1794300;;;;
03/07/2019;829000;;;;
05/07/2019;1223700;;;;
08/07/2019;828300;;;;
09/07/2019;1243900;;;;
10/07/2019;1911500;;;;
11/07/2019;2415500;;;;
12/07/2019;2753300;;;;
15/07/2019;2029400;;;;
16/07/2019;2751100;;;;
17/07/2019;2315800;;;;
18/07/2019;5567500;;;;
19/07/2019;15680900;;;;
22/07/2019;4799600;;;;
23/07/2019;3573600;;;;
24/07/2019;1960600;;;;
25/07/2019;1746800;;;;
26/07/2019;1783400;;;;
29/07/2019;2436200;;;;
30/07/2019;2256400;;;;
31/07/2019;1779500;;;;
01/08/2019;4162800;;;;
02/08/2019;2133500;;;;
05/08/2019;2954800;;;;
06/08/2019;1671000;;;;
07/08/2019;2405600;;;;
08/08/2019;2648400;;;;
09/08/2019;1688800;;;;
12/08/2019;2918900;;;;
13/08/2019;2967300;;;;
14/08/2019;1935100;;;;
15/08/2019;1746300;;;;
16/08/2019;1742000;;;;
19/08/2019;1793800;;;;
20/08/2019;1839000;;;;
21/08/2019;1573700;;;;
22/08/2019;1451800;;;;
23/08/2019;2639800;;;;
26/08/2019;1192800;;;;
27/08/2019;1112700;;;;
28/08/2019;1760900;;;;
29/08/2019;2139700;;;;
30/08/2019;1688300;;;;
03/09/2019;2516900;;;;
04/09/2019;3690400;;;;
05/09/2019;2242900;;;;
06/09/2019;4036500;;;;
09/09/2019;4546900;;;;
10/09/2019;3650300;;;;
11/09/2019;1724900;;;;
12/09/2019;1231800;;;;
13/09/2019;1473100;;;;
16/09/2019;1472100;;;;
